#,Open Time,Type,Lots,Symbol,Price,Stop/Loss,Take Profit,Close Time,Close Price,Profit,Comment,MagicNumber
81805591,2018.02.16 20:00,1,0.02,GBPCHF,1.29999,1.30561,1.18759,2018.02.19 08:00,1.30187,-4.05,HA_SMA-short on strategy_2,20180207
81805594,2018.02.16 20:00,1,0.02,CHFJPY,114.551,115.157,102.431,2018.02.21 08:00,115.004,-8.4,HA_SMA-short on strategy_2,20180207
81810505,2018.02.19 04:00,1,0.02,AUDNZD,1.07098,1.07485,0.99358,2018.02.19 16:00,1.07432,-4.91,HA_SMA-short on strategy_2,20180207
81810507,2018.02.19 04:00,1,0.02,AUDJPY,84.161,84.725,72.881,2018.02.20 06:38,84.725,-10.56,HA_SMA-short on strategy_2[sl],20180207
81832519,2018.02.20 08:00,0,0.06,USDCAD,1.25787,1.25332,1.34845,2018.02.22 07:08,1.26921,53.61,bbMacd- long 0.06 on USDCAD,20180112
81844913,2018.02.20 16:00,0,0.02,USDCAD,1.2628,1.25815,1.3558,2018.02.22 07:08,1.26924,10.15,IchimokuV1.0- long on USDCAD,20170909
81850882,2018.02.20 20:00,1,0.02,EURNZD,1.67869,1.67862,1.55631,2018.02.21 22:00,1.67863,0.09,HA_SMA-short on strategy_2[sl],20180207
81855414,2018.02.21 04:00,1,0.02,EURGBP,0.88129,0.88399,0.82729,2018.02.21 11:31,0.88411,-7.86,HA_SMA-short on strategy_2[sl],20180207
81855415,2018.02.21 04:00,1,0.02,EURAUD,1.5666,1.5727,1.4446,2018.02.21 08:00,1.5695,-4.55,HA_SMA-short on strategy_2,20180207
81859557,2018.02.21 08:00,0,0.02,USDCHF,0.93771,0.93378,1.01673,2018.02.22 11:45,0.93749,-0.47,IchimokuV1.0- long on USDCHF,20170909
81865228,2018.02.21 12:00,1,0.03,AUDNZD,1.06832,1.07187,0.99732,2018.02.22 11:46,1.06688,3.16,HA_SMA-short on strategy_2,20180207
81870615,2018.02.21 16:00,1,0.02,EURUSD,1.23177,1.23668,1.13756,2018.02.22 10:16,1.22731,8.92,IchimokuV1.0- short on EURUSD,20170909
81870616,2018.02.21 16:00,1,0.02,EURUSD,1.23177,1.22995,1.13737,2018.02.22 10:16,1.2273,8.94,HA_SMA-short on strategy_2,20180207
81870636,2018.02.21 16:00,1,0.02,EURUSD,1.232,1.23077,1.13761,2018.02.22 07:38,1.22748,9.04,HA_SMA-short on strategy_2,20180207
81870653,2018.02.21 16:00,1,0.02,EURUSD,1.2319,1.2307,1.13752,2018.02.22 07:38,1.22748,8.84,HA_SMA-short on strategy_2,20180207
81870688,2018.02.21 16:01,1,0.02,EURUSD,1.23246,1.23077,1.13807,2018.02.22 07:38,1.22747,9.98,HA_SMA-short on strategy_2,20180207
81876380,2018.02.21 20:00,1,0.02,AUDUSD,0.78391,0.78794,0.70268,2018.02.21 21:11,0.78794,-8.06,IchimokuV1.0- short on AUDU[sl],20170909
81877001,2018.02.21 21:00,1,0.02,GOLD,1329.55,1336.28,1186.76,2018.02.21 21:07,1336.3,-13.5,IchimokuV1.0- short on GOLD[sl],20170909
81884266,2018.02.22 04:00,1,0.02,GBPUSD,1.39121,1.39829,1.24961,2018.02.22 11:46,1.38932,3.78,IchimokuV1.0- short on GBPUSD,20170909
81890986,2018.02.22 12:00,0,0.02,USDCAD,1.26866,1.2714,1.35026,2018.02.22 16:07,1.27139,4.29,HA_SMA-long on strategy_2[sl],20180207
81890998,2018.02.22 12:00,0,0.03,USDCHF,0.93833,0.93449,1.01513,2018.02.22 16:13,0.93449,-12.33,HA_SMA-long on strategy_2[sl],20180207
81891000,2018.02.22 12:00,0,0.03,EURAUD,1.57243,1.56661,1.68883,2018.02.26 00:37,1.56653,-13.88,HA_SMA-long on strategy_2[sl],20180207
81896383,2018.02.22 16:00,1,0.02,CADJPY,83.982,84.373,75.931,2018.02.23 15:30,84.458,-8.92,bbMacd - short 0.02 on CADJ[sl],20180112
81896399,2018.02.22 16:00,1,0.02,USDJPY,106.881,107.39,96.47,2018.02.27 16:00,107.096,-4.02,IchimokuV1.0- short on USDJPY,20170909
81903065,2018.02.22 20:00,0,0.02,NZDUSD,0.73506,0.73144,0.80683,2018.02.23 03:11,0.73144,-7.24,IchimokuV1.0- long on NZDUS[sl],20170909
81903078,2018.02.22 20:00,0,0.02,NZDUSD,0.73507,0.73148,0.80687,2018.02.23 03:11,0.73147,-7.2,HA_SMA-long on strategy_2[sl],20180207
81903080,2018.02.22 20:00,0,0.02,USDCAD,1.27082,1.26603,1.36662,2018.02.23 15:30,1.26454,-9.93,HA_SMA-long on strategy_2[sl],20180207
81903082,2018.02.22 20:00,0,0.02,EURCAD,1.56797,1.56306,1.66617,2018.02.23 09:05,1.56304,-7.75,HA_SMA-long on strategy_2[sl],20180207
